"ITTER107","Territorio","TIPO_DATO29","Variabile","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","12120","valore della produzione (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",80684667,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",101160935,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",72456436,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",40280032,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",25442842,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","105","industria lattiero-casearia","2020","2020",20526313,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","12120","valore della produzione (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",2588942,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",15917802,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","245","fonderie","2020","2020",4758014,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",12406017,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",6818652,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",6733378,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","293","fabbricazione di parti ed accessori per autoveicoli e loro motori","2020","2020",21341683,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",8723596,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",2927867,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",422134,,
"IT","Italia","12120","valore della produzione (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",4441337,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",1800531,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",7010986,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","05","estrazione di carbone (esclusa torba)","2020","2020",0,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",12326270,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","24","metallurgia","2020","2020",7992983,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",27993578,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",51287843,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",25804763,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",1769896,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",12328764,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",12064527,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","105","industria lattiero-casearia","2020","2020",3217562,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",738894,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","243","fabbricazione di altri prodotti della prima trasformazione dell'acciaio","2020","2020",950570,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",1719868,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","245","fonderie","2020","2020",1327231,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",3672272,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","275","fabbricazione di apparecchi per uso domestico","2020","2020",2015715,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","279","fabbricazione di altre apparecchiature elettriche","2020","2020",2215909,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","325","fabbricazione di strumenti e forniture mediche e dentistiche","2020","2020",3533145,,
